Function,Variant,Run,Best
F9,IFPOA-X (base/FPA),16,3.955739e+02
F9,IFPOA-X (base/FPA),17,3.849189e+02
F9,IFPOA-X (base/FPA),18,3.974525e+02
F9,IFPOA-X (base/FPA),19,3.977181e+02
F9,IFPOA-X (base/FPA),20,3.568445e+02
F10,IFPOA-X (no OBL),1,1.898420e+01
F10,IFPOA-X (no OBL),2,1.983193e+01
F10,IFPOA-X (no OBL),3,1.981237e+01
F10,IFPOA-X (no OBL),4,2.022114e+01
F10,IFPOA-X (no OBL),5,2.003499e+01
F10,IFPOA-X (no OBL),6,1.895502e+01
F10,IFPOA-X (no OBL),7,2.076992e+01
F10,IFPOA-X (no OBL),8,2.022490e+01
F10,IFPOA-X (no OBL),9,2.062512e+01
F10,IFPOA-X (no OBL),10,2.072868e+01
F10,IFPOA-X (no OBL),11,1.890882e+01
F10,IFPOA-X (no OBL),12,2.075777e+01
F10,IFPOA-X (no OBL),13,2.077097e+01
F10,IFPOA-X (no OBL),14,2.067717e+01
F10,IFPOA-X (no OBL),15,1.960776e+01
F10,IFPOA-X (no OBL),16,1.958015e+01
F10,IFPOA-X (no OBL),17,2.080092e+01
F10,IFPOA-X (no OBL),18,1.995793e+01
F10,IFPOA-X (no OBL),19,1.951541e+01
F10,IFPOA-X (no OBL),20,2.063620e+01
F10,IFPOA-X (base/FPA),1,2.057713e+01
F10,IFPOA-X (base/FPA),2,1.929490e+01
F10,IFPOA-X (base/FPA),3,2.004986e+01
F10,IFPOA-X (base/FPA),4,2.055049e+01
F10,IFPOA-X (base/FPA),5,1.955151e+01
F10,IFPOA-X (base/FPA),6,2.038053e+01
F10,IFPOA-X (base/FPA),7,1.951875e+01
F10,IFPOA-X (base/FPA),8,2.006512e+01
F10,IFPOA-X (base/FPA),9,2.062877e+01
F10,IFPOA-X (base/FPA),10,2.037479e+01
F10,IFPOA-X (base/FPA),11,1.981649e+01
F10,IFPOA-X (base/FPA),12,2.054915e+01
F10,IFPOA-X (base/FPA),13,2.023635e+01
F10,IFPOA-X (base/FPA),14,2.074183e+01
F10,IFPOA-X (base/FPA),15,2.071135e+01
F10,IFPOA-X (base/FPA),16,2.025357e+01
F10,IFPOA-X (base/FPA),17,2.035909e+01
F10,IFPOA-X (base/FPA),18,1.994462e+01
F10,IFPOA-X (base/FPA),19,1.981603e+01
F10,IFPOA-X (base/FPA),20,2.058277e+01
F11,IFPOA-X (no OBL),1,3.614556e+02
F11,IFPOA-X (no OBL),2,3.586323e+02
F11,IFPOA-X (no OBL),3,3.287487e+02
F11,IFPOA-X (no OBL),4,2.933040e+02
F11,IFPOA-X (no OBL),5,2.386642e+02
F11,IFPOA-X (no OBL),6,3.102019e+02
F11,IFPOA-X (no OBL),7,3.575529e+02
F11,IFPOA-X (no OBL),8,2.971167e+02
F11,IFPOA-X (no OBL),9,3.019492e+02
F11,IFPOA-X (no OBL),10,3.011757e+02
F11,IFPOA-X (no OBL),11,3.792462e+02
F11,IFPOA-X (no OBL),12,3.739753e+02
F11,IFPOA-X (no OBL),13,4.114348e+02
F11,IFPOA-X (no OBL),14,3.455821e+02
F11,IFPOA-X (no OBL),15,2.982105e+02
F11,IFPOA-X (no OBL),16,3.319130e+02
F11,IFPOA-X (no OBL),17,2.955210e+02
F11,IFPOA-X (no OBL),18,3.277270e+02
F11,IFPOA-X (no OBL),19,3.631101e+02
F11,IFPOA-X (no OBL),20,3.043480e+02
F11,IFPOA-X (base/FPA),1,3.644989e+02
F11,IFPOA-X (base/FPA),2,2.659178e+02
F11,IFPOA-X (base/FPA),3,2.083144e+02
F11,IFPOA-X (base/FPA),4,3.415553e+02
F11,IFPOA-X (base/FPA),5,3.694651e+02
F11,IFPOA-X (base/FPA),6,3.327647e+02
F11,IFPOA-X (base/FPA),7,3.554330e+02
F11,IFPOA-X (base/FPA),8,3.877135e+02
F11,IFPOA-X (base/FPA),9,3.306199e+02
F11,IFPOA-X (base/FPA),10,2.775756e+02
F11,IFPOA-X (base/FPA),11,2.801652e+02
F11,IFPOA-X (base/FPA),12,2.465919e+02
F11,IFPOA-X (base/FPA),13,3.336814e+02
F11,IFPOA-X (base/FPA),14,3.354918e+02
F11,IFPOA-X (base/FPA),15,3.716003e+02
F11,IFPOA-X (base/FPA),16,3.297585e+02
F11,IFPOA-X (base/FPA),17,3.862433e+02
F11,IFPOA-X (base/FPA),18,3.510242e+02
F11,IFPOA-X (base/FPA),19,3.351211e+02
F11,IFPOA-X (base/FPA),20,3.221714e+02
F12,IFPOA-X (no OBL),1,7.806921e+07
F12,IFPOA-X (no OBL),2,7.787394e+07
F12,IFPOA-X (no OBL),3,1.596537e+08
F12,IFPOA-X (no OBL),4,1.693630e+08
F12,IFPOA-X (no OBL),5,7.931295e+07
F12,IFPOA-X (no OBL),6,2.585895e+08
F12,IFPOA-X (no OBL),7,1.821059e+08
F12,IFPOA-X (no OBL),8,6.950084e+07
F12,IFPOA-X (no OBL),9,1.515066e+08
F12,IFPOA-X (no OBL),10,1.479127e+08
F12,IFPOA-X (no OBL),11,4.185459e+08
F12,IFPOA-X (no OBL),12,3.231398e+08
F12,IFPOA-X (no OBL),13,1.925194e+08
F12,IFPOA-X (no OBL),14,3.354562e+08
F12,IFPOA-X (no OBL),15,3.669119e+08
F12,IFPOA-X (no OBL),16,1.582518e+08
F12,IFPOA-X (no OBL),17,2.745856e+08
F12,IFPOA-X (no OBL),18,2.926065e+08
F12,IFPOA-X (no OBL),19,3.541644e+08
F12,IFPOA-X (no OBL),20,4.180567e+08
F12,IFPOA-X (base/FPA),1,2.580402e+08
F12,IFPOA-X (base/FPA),2,8.115645e+07
F12,IFPOA-X (base/FPA),3,3.421200e+08
F12,IFPOA-X (base/FPA),4,1.034407e+08
