Function,Variant,Run,Best
F3,IFPOA-X (no JADE),3,4.386188e-01
F3,IFPOA-X (no JADE),4,4.542692e-04
F3,IFPOA-X (no JADE),5,3.876009e-07
F3,IFPOA-X (no JADE),6,3.879776e-08
F3,IFPOA-X (no JADE),7,7.915182e-07
F3,IFPOA-X (no JADE),8,3.156515e+00
F3,IFPOA-X (no JADE),9,1.536637e-04
F3,IFPOA-X (no JADE),10,3.327542e-01
F3,IFPOA-X (no JADE),11,1.894842e-05
F3,IFPOA-X (no JADE),12,1.407844e-02
F3,IFPOA-X (no JADE),13,4.319575e-01
F3,IFPOA-X (no JADE),14,7.381275e+00
F3,IFPOA-X (no JADE),15,8.929919e-06
F3,IFPOA-X (no JADE),16,4.285472e-09
F3,IFPOA-X (no JADE),17,2.713759e-06
F3,IFPOA-X (no JADE),18,2.275540e-06
F3,IFPOA-X (no JADE),19,2.471179e-01
F3,IFPOA-X (no JADE),20,5.276993e-04
F3,IFPOA-X (no Bandit),1,1.103852e+04
F3,IFPOA-X (no Bandit),2,1.368738e+03
F3,IFPOA-X (no Bandit),3,1.530919e+02
F3,IFPOA-X (no Bandit),4,6.461929e+03
F3,IFPOA-X (no Bandit),5,5.461777e+02
F3,IFPOA-X (no Bandit),6,9.952154e+01
F3,IFPOA-X (no Bandit),7,1.569548e+01
F3,IFPOA-X (no Bandit),8,4.089204e+02
F3,IFPOA-X (no Bandit),9,7.516302e+02
F3,IFPOA-X (no Bandit),10,5.667116e+01
F3,IFPOA-X (no Bandit),11,1.909605e+03
F3,IFPOA-X (no Bandit),12,5.302873e+02
F3,IFPOA-X (no Bandit),13,4.231225e+01
F3,IFPOA-X (no Bandit),14,8.201856e+02
F3,IFPOA-X (no Bandit),15,2.069022e+03
F3,IFPOA-X (no Bandit),16,2.021914e-01
F3,IFPOA-X (no Bandit),17,1.464469e+04
F3,IFPOA-X (no Bandit),18,4.059603e+00
F3,IFPOA-X (no Bandit),19,1.079580e-01
F3,IFPOA-X (no Bandit),20,4.042057e+03
F3,IFPOA-X (base/FPA),1,5.135043e+04
F3,IFPOA-X (base/FPA),2,7.027060e+04
F3,IFPOA-X (base/FPA),3,5.563918e+04
F3,IFPOA-X (base/FPA),4,6.039566e+04
F3,IFPOA-X (base/FPA),5,5.194868e+04
F3,IFPOA-X (base/FPA),6,4.985191e+04
F3,IFPOA-X (base/FPA),7,5.575042e+04
F3,IFPOA-X (base/FPA),8,8.853515e+04
F3,IFPOA-X (base/FPA),9,6.196141e+04
F3,IFPOA-X (base/FPA),10,5.505073e+04
F3,IFPOA-X (base/FPA),11,5.706716e+04
F3,IFPOA-X (base/FPA),12,5.010188e+04
F3,IFPOA-X (base/FPA),13,5.550914e+04
F3,IFPOA-X (base/FPA),14,5.169543e+04
